Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TES2HZVTCI,2025-05-28 08:55:59.981,Credit Party,Completed,241.0,,241.0
TES1HSBFDR,2025-05-28 07:57:59.962,,Completed,,-31.0,0.0
TES1HSBFDR,2025-05-28 07:57:59.962,Credit Party,Completed,31.0,,31.0
TER9HAFLR9,2025-05-27 22:52:59.981,,Completed,,-25.0,0.0
TER9HAFLR9,2025-05-27 22:52:59.981,Credit Party,Completed,25.0,,25.0
TER5GG5W8N,2025-05-27 19:41:59.971,,Completed,,-45.0,0.0
TER5GG5W8N,2025-05-27 19:41:59.971,Credit Party,Completed,44.71,,45.0
TER7FCUDZ7,2025-05-27 16:52:00.019,Purchase,Completed,,-10.0,0.29
TER0EK5VNC,2025-05-27 13:48:00.000,Purchase,Completed,,-35.0,10.29
TER7DSLE47,2025-05-27 10:43:59.981,Purchase,Completed,,-32.0,45.29
TER9DODGUN,2025-05-27 10:14:59.971,Purchase,Completed,,-35.0,77.29
TEQ0CGOJAO,2025-05-26 21:42:00.029,,Completed,,-70.0,112.29
TEQ3CGFQXB,2025-05-26 21:40:00.019,,Completed,,-100.0,182.29
TEQ1CF5SV5,2025-05-26 21:31:00.019,,Completed,,-100.0,282.29
TEQ6BJSUK8,2025-05-26 19:05:59.971,Purchase,Completed,,-54.0,382.29
TEQ1AW97QR,2025-05-26 17:24:59.962,Purchase,Completed,,-36.0,436.29
TEQ5A24ACR,2025-05-26 14:19:00.019,Purchase,Completed,,-45.0,472.29
TEQ39A5MUH,2025-05-26 11:15:00.000,Purchase,Completed,,-36.0,517.29
TEQ08JB98U,2025-05-26 08:03:00.029,Purchase,Completed,,-45.0,553.29
TEQ087EQR8,2025-05-26 04:52:59.981,Purchase,Completed,,-45.0,598.29
TEP07CDGYS,2025-05-25 19:59:59.971,Purchase,Completed,,-36.0,643.29
TEP06MIN2Y,2025-05-25 18:04:00.019,,Completed,,-7.0,679.29
TEP06MIN2Y,2025-05-25 18:04:00.019,,Completed,,-120.0,686.29
TEP66L37PE,2025-05-25 17:57:59.990,,Completed,,-170.0,806.29
TEP56B87HV,2025-05-25 17:06:59.962,,Completed,,-20.0,976.29
TEP05KLZ2C,2025-05-25 14:24:00.000,,Completed,,-275.0,996.29
TEP85JRMFK,2025-05-25 14:19:00.019,Purchase,Completed,,-45.0,1271.29
TEP9553R1D,2025-05-25 12:40:00.019,Charge,Completed,,-5.0,1316.29
TEP9553R1D,2025-05-25 12:40:00.019,,Completed,,-500.0,1321.29
TEP44QME1W,2025-05-25 10:50:59.971,Purchase,Completed,,-32.0,1821.29
TEP44POGUU,2025-05-25 10:43:59.981,,Completed,,-29.0,1853.29
TEP44POGUU,2025-05-25 10:43:59.981,,Completed,,-350.0,1882.29
TEP33XV47P,2025-05-25 06:15:59.990,Purchase,Completed,,-38.0,2232.29
TEO42TPZ58,2025-05-24 19:48:00.000,Purchase,Completed,,-36.0,2270.29
TEO82TBJW0,2025-05-24 19:45:59.990,Purchase,Completed,,-35.0,2306.29
TEO11NIZX1,2025-05-24 16:41:59.971,Purchase,Completed,,-32.0,2341.29
TEO5YWH31D,2025-05-24 09:54:59.962,Purchase,Completed,,-35.0,2373.29
TEO6Y697PA,2025-05-24 03:29:59.971,Purchase,Completed,,-25.0,2408.29
TEO4Y68FOW,2025-05-24 03:29:00.010,Purchase,Completed,,-35.0,2433.29
TEN9WP250Z,2025-05-23 18:45:59.962,,Completed,,-7.0,2468.29
TEN9WP250Z,2025-05-23 18:45:59.962,,Completed,,-120.0,2475.29
TEN1WNLZG9,2025-05-23 18:40:59.981,,Completed,,-489.0,2595.29
TEN0WLGTK2,2025-05-23 18:31:59.981,,Completed,,-175.0,3084.29
TEN2WKR86Y,2025-05-23 18:29:00.010,,Completed,400.0,,3259.29
TEN9WASYU5,2025-05-23 17:44:00.010,Charge,Completed,,-25.0,2859.29
TEN9WASYU5,2025-05-23 17:44:00.010,,Completed,,-3500.0,2884.29
TEN6VZ70IA,2025-05-23 16:43:00.019,Charge,Completed,,-15.0,6384.29
TEN6VZ70IA,2025-05-23 16:43:00.019,,Completed,,-1500.0,6399.29
TEN1VQ5QNF,2025-05-23 15:47:59.971,Purchase,Completed,,-40.0,7899.29
TEN0VQ1W0A,2025-05-23 15:47:00.010,Purchase,Completed,,-32.0,7939.29
TEN4UBEHIO,2025-05-23 10:09:00.029,Purchase,Completed,,-40.0,7971.29
TEN8TM887Y,2025-05-23 06:40:00.019,Purchase,Completed,,-32.0,8011.29
TEM8SOHDZQ,2025-05-22 20:06:59.962,Purchase,Completed,,-32.0,8043.29
TEM6SHZ7MW,2025-05-22 19:39:59.962,Charge,Completed,,-42.0,8075.29
TEM6SHZ7MW,2025-05-22 19:39:59.962,,Completed,,-7500.0,8117.29
TEM5S46MPF,2025-05-22 18:47:59.971,,Completed,,-185.0,15617.29
TEM6RUY0R8,2025-05-22 18:08:00.038,,Completed,0.0,,15802.29
TEM5RUY2Y3,2025-05-22 18:08:00.038,,Completed,13888.5,,15802.29
TEM1RUIN7L,2025-05-22 18:06:00.029,,Completed,,-1.0,1913.79
TEM4RTQ8Z4,2025-05-22 18:02:00.010,,Completed,,-32.0,1914.79
TEM9RC71QL,2025-05-22 16:27:59.990,,Completed,,-50.0,1946.79
TEM5QT8MBT,2025-05-22 14:21:00.029,,Completed,,-20.0,1996.79
TEM6Q1QZU8,2025-05-22 11:15:00.000,,Completed,,-35.0,2016.79
TEM6PDJHKW,2025-05-22 08:19:00.019,,Completed,,-32.0,2051.79
TEM4P02NHM,2025-05-22 05:14:00.038,,Completed,,-32.0,2083.79
TEL9NXCP9R,2025-05-21 19:45:00.029,,Completed,,-45.0,2115.79
TEL1N5P283,2025-05-21 17:55:00.019,,Completed,,-175.0,2160.79
TEL4MTDRSU,2025-05-21 16:52:00.019,,Completed,,-31.0,2335.79
TEL9MP2325,2025-05-21 16:25:59.981,,Completed,,-32.0,2366.79
TEL6LWWVPK,2025-05-21 13:23:00.010,,Completed,,-35.0,2398.79
TEL0L5N89O,2025-05-21 10:18:59.990,,Completed,,-36.0,2433.79
TEL7KCT86H,2025-05-21 06:13:00.019,,Completed,,-40.0,2469.79
TEL1KAQF6J,2025-05-21 04:38:00.038,,Completed,,-32.0,2509.79
TEL0K9ELQU,2025-05-21 02:19:59.981,,Completed,,-13.0,2541.79
TEL0K9ELQU,2025-05-21 02:19:59.981,,Completed,,-1000.0,2554.79
TEK6JWA5W8,2025-05-20 21:36:00.000,,Completed,,-32.0,3554.79
TEK1JU8UCH,2025-05-20 21:22:00.019,,Completed,1000.0,,3586.79
TEK6IH5I6M,2025-05-20 17:46:59.981,,Completed,,-35.0,2586.79
TEK2I4VFIG,2025-05-20 16:43:59.981,,Completed,,-25.0,2621.79
TEK9HO4GC1,2025-05-20 14:57:00.029,,Completed,,-65.0,2646.79
TEK9HNQ337,2025-05-20 14:55:00.019,,Completed,,-5.0,2711.79
TEK9HNQ337,2025-05-20 14:55:00.019,,Completed,,-150.0,2716.79
TEK8H7LMA6,2025-05-20 13:12:00.000,,Completed,,-52.0,2866.79
TEK2GH1SIC,2025-05-20 10:07:00.019,,Completed,,-32.0,2918.79
TEK4FU2GC4,2025-05-20 07:03:00.000,,Completed,,-45.0,2950.79
TEK4FU02X4,2025-05-20 07:02:00.038,,Completed,,-32.0,2995.79
TEJ2E35UJQ,2025-05-19 18:18:59.962,,Completed,,-10.0,3027.79
TEJ8E30VL4,2025-05-19 18:18:00.000,,Completed,,-7.0,3037.79
TEJ8E30VL4,2025-05-19 18:18:00.000,,Completed,,-120.0,3044.79
TEJ9E2SL45,2025-05-19 18:17:00.038,,Completed,,-15.0,3164.79
TEJ2E28R7E,2025-05-19 18:15:00.029,,Completed,,-7.0,3179.79
TEJ2E28R7E,2025-05-19 18:15:00.029,,Completed,,-180.0,3186.79
TEJ2DGLNSG,2025-05-19 16:21:00.000,,Completed,,-65.0,3366.79
TEJ0C8VG5I,2025-05-19 11:30:00.029,,Completed,,-15.71,3431.79
TEJ9C8VJQN,2025-05-19 11:30:00.029,,Completed,0.0,,3447.5
TEJ6C8VJ60,2025-05-19 11:30:00.029,,Completed,3447.5,,3447.5
TEJ1C8F8N5,2025-05-19 11:26:59.971,,Completed,,-5.0,0.0
TEJ1C8F8N5,2025-05-19 11:26:59.971,,Completed,,-500.0,5.0
TEJ1C8F8N5,2025-05-19 11:26:59.971,,Completed,15.55,,505.0
TEJ2C81W0O,2025-05-19 11:24:00.000,,Completed,,-35.0,489.45
TEJ7B3LZ57,2025-05-19 04:09:00.029,,Completed,,-32.0,524.45
TEI3AVVJ9D,2025-05-18 22:34:59.981,,Completed,,-31.0,556.45
TEI0AAUQEK,2025-05-18 20:10:59.981,,Completed,,-60.0,587.45
TEI6A9MIF2,2025-05-18 20:05:00.038,,Completed,,-234.0,647.45
TEI1A17S7X,2025-05-18 19:27:59.990,,Completed,,-35.0,881.45
TEI98I4PP9,2025-05-18 14:30:59.990,,Completed,,-25.0,916.45
TEI38HZ08F,2025-05-18 14:30:00.029,,Completed,,-31.0,941.45
TEI48HGLMU,2025-05-18 14:26:00.010,,Completed,,-350.0,972.45
TEI38170I9,2025-05-18 12:36:59.962,Charge,Completed,,-5.0,1322.45
TEI38170I9,2025-05-18 12:36:59.962,,Completed,,-500.0,1327.45
TEI77M2HXV,2025-05-18 10:43:00.019,,Completed,,-29.0,1827.45
TEI77M2HXV,2025-05-18 10:43:00.019,,Completed,,-350.0,1856.45
TEI975ZLD3,2025-05-18 08:41:00.038,Purchase,Completed,,-38.0,2206.45
TEI36TB1XN,2025-05-18 05:37:00.019,Purchase,Completed,,-32.0,2244.45
TEH0596NBQ,2025-05-17 18:49:00.019,,Completed,,-90.0,2276.45
TEH758NXD5,2025-05-17 18:47:00.010,,Completed,,-40.0,2366.45
TEH357YUBB,2025-05-17 18:45:00.000,,Completed,,-45.0,2406.45
TEH14F62NB,2025-05-17 16:21:00.000,Purchase,Completed,,-32.0,2451.45
TEH73LCPLP,2025-05-17 13:16:00.019,Purchase,Completed,,-35.0,2483.45
TEH32T4DQT,2025-05-17 10:05:59.971,Purchase,Completed,,-25.0,2518.45
TEH42LKW1I,2025-05-17 09:13:00.019,,Completed,,-29.0,2543.45
TEH42LKW1I,2025-05-17 09:13:00.019,,Completed,,-250.0,2572.45
TEH82D2EH0,2025-05-17 08:08:00.010,Purchase,Completed,,-45.0,2822.45
TEG11T4IHH,2025-05-16 23:03:00.029,Purchase,Completed,,-35.0,2867.45
TEG218STK6,2025-05-16 20:35:00.010,,Completed,,-414.0,2902.45
TEG0103KCE,2025-05-16 19:57:00.000,Purchase,Completed,,-31.0,3316.45
TEG9Z2POS5,2025-05-16 17:42:59.962,Purchase,Completed,,-40.0,3347.45
TEG8Y0CSJ0,2025-05-16 13:52:59.981,Purchase,Completed,,-50.0,3387.45
TEG2XWMAOG,2025-05-16 13:30:00.000,Purchase,Completed,,-45.0,3437.45
TEG7X8JM9L,2025-05-16 10:50:00.010,,Completed,,-24113.0,3482.45
TEG3WZI1R5,2025-05-16 09:47:59.971,Purchase,Completed,,-45.0,27595.45
TEG0WZEZRM,2025-05-16 09:47:00.010,Purchase,Completed,,-150.0,27640.45
TEG3WZBT7J,2025-05-16 09:47:00.010,Purchase,Completed,,-350.0,27790.45
TEG4WZ3DQA,2025-05-16 09:45:00.000,,Completed,,-9859.55,28140.45
TEG1WZ3T8J,2025-05-16 09:45:00.000,,Completed,38000.0,,38000.0
TEE1QMP91D,2025-05-14 19:52:00.019,,Completed,,-20.0,0.0
TEE1QMP91D,2025-05-14 19:52:00.019,,Completed,20.0,,20.0
TEE1QL23BD,2025-05-14 19:45:59.990,,Completed,,-30.0,0.0
TEE1QL23BD,2025-05-14 19:45:59.990,,Completed,30.0,,30.0
TEE0QKN7SQ,2025-05-14 19:43:59.981,,Completed,,-30.0,0.0
TEE0QKMT1M,2025-05-14 19:43:59.981,,Completed,30.0,,30.0
TEE6O2RQRK,2025-05-14 11:21:59.990,,Completed,,-40.0,0.0
TEE6O2RQRK,2025-05-14 11:21:59.990,,Completed,40.0,,40.0
TEE3O2MLP9,2025-05-14 11:21:00.029,,Completed,50.0,,50.0
TEE5O2MKXT,2025-05-14 11:21:00.029,,Completed,,-50.0,0.0
